taxa,sp_ncbi,species,gtime,gtime.notes
Fish,Oncorhynchus keta,Oncorhynchus keta,4.541666667,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.705882353,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.205882353,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.985099338,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.958333333,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.20610687,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.06263048,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.074844075,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.083333333,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.472972973,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.843326886,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.974477958,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.064814815,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.032537961,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.148148148,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.821875,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.4,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.226804124,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.503496503,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.939393939,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.327345309,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.30720339,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.472,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.007326007,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.661616162,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.137931034,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.018181818,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.84,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.176646707,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.755813953,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.4,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.732758621,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.064516129,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.663082437,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.27027027,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.406189555,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.177290837,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.130434783,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.505759162,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.147727273,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.471910112,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.808,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.124645892,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.292582418,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.67218543,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.232044199,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.342342342,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.360655738,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.008888889,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.022556391,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.71780303,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.333333333,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.395454545,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.447761194,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.407821229,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.258278146,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.6,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.406976744,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.438596491,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,5,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.018518519,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.94980695,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.85492228,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.979899497,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.4375,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.226415094,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.973509934,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.421052632,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.103092784,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.789473684,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,3.373684211,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.329268293,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.202410299,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.028735632,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.331742243,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.871232877,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.658456486,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus keta,Oncorhynchus keta,4.561889251,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4,NA
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.901785714,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.842490842,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.24137931,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.892405063,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.023228804,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.778378378,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.611111111,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.453416149,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.964285714,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.024911032,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.086805556,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.994152047,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.948453608,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.717741935,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.051282051,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.952380952,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.890243902,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.785714286,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.927083333,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.811111111,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.616438356,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.952586207,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,NA,NA
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.956521739,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.967032967,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.835897436,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.048387097,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.674418605,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.496969697,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.214285714,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.660493827,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.751677852,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.517241379,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.674796748,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.833333333,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.96,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.983333333,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.911764706,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.009708738,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.041474654,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.872727273,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.944444444,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.068522484,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.015189873,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.059233449,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.14064915,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.905109489,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.888594164,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.058139535,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.114754098,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.797979798,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.808126411,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.90952381,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.8875,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.905617978,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.486111111,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.878306878,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.913043478,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.066666667,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.185185185,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.145454545,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.950617284,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.442622951,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.222570533,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.483870968,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.62745098,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.123076923,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.5,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.350574713,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.357142857,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.62987013,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.217391304,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.297297297,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.398809524,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.68,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.304347826,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.421875,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.55625,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.545454545,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.642857143,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.196808511,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.002421308,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.337944664,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.279069767,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.117647059,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.392026578,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.423076923,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.675471698,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.72815534,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.543942993,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.606557377,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.602739726,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.426229508,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.394435352,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.510526316,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.472154964,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.451492537,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.884745763,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.518867925,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.568181818,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.575757576,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.415625,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.607142857,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.285714286,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.133928571,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.453125,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.478873239,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,4.090909091,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.417910448,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.686046512,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.673469388,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.262295082,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.852941176,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.84,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.620689655,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.37037037,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.289473684,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.740740741,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.28125,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.561904762,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.565217391,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.571428571,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.65915493,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.8,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.414285714,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.390728477,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.021201413,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.583333333,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.150417827,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.351351351,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.696236559,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.56916996,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.572463768,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.3,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.401162791,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.375,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.572953737,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.657894737,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.047619048,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.333333333,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.390092879,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.065637066,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.526315789,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.511111111,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.264705882,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.578947368,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.576470588,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.622222222,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.26744186,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.542857143,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.431034483,Calculated as mean population freshwater age + mean population saltwater age + 1
Fish,Oncorhynchus kisutch,Oncorhynchus kisutch,3.386363636,Calculated as mean population freshwater age + mean population saltwater age + 1
