species,taxa,taxa_fine,sp_ncbi,sp_given.ncbi
Coccyzus erythropthalmus,Bird,Aves,Coccyzus erythropthalmus,eq
Contopus virens,Bird,Aves,Contopus virens,eq
Coregonus albellus,Fish,Actinopterygii,Coregonus albellus,eq
Coregonus clupeaformis,Fish,Actinopterygii,Coregonus clupeaformis,eq
Coregonus fatioi,Fish,Actinopterygii,Coregonus fatioi,eq
Coregonus lavaretus,Fish,Actinopterygii,Coregonus lavaretus,eq
Coturnix coturnix,Bird,Aves,Coturnix coturnix,eq
Crepis sancta,Plant,Asteraceae,Crepis sancta,eq
Cyanocitta cristata,Bird,Aves,Cyanocitta cristata,eq
Cygnus olor,Bird,Aves,Cygnus olor,eq
Cynoglossum officinale,Plant,Boraginaceae,Cynoglossum officinale,eq
Cynotilapia afra,Fish,Actinopterygii,Cynotilapia afra,eq
Cyprinella venusta,Fish,Actinopterygii,Cyprinella venusta,eq
Cyprinodon tularosa,Fish,Actinopterygii,Cyprinodon tularosa,eq
Cytisus scoparius,Plant,Fabaceae,Cytisus scoparius,eq
Dactylis glomerata,Plant,Poaceae,Dactylis glomerata,eq
Daphnia galeata,Crustacean,Crustacea,Daphnia galeata,eq
Daphnia galeata mendotae,Crustacean,Crustacea,Daphnia mendotae,not_eq
Daphnia melanica,Crustacean,Crustacea,Daphnia melanica,eq
Daphnia retrocurva,Crustacean,Crustacea,Daphnia retrocurva,eq
Datura stramonium,Plant,Solanaceae,Datura stramonium,eq
Delichon urbica,Bird,Aves,Delichon urbicum,not_eq
Deschampsia cespitosa,Plant,Poaceae,Deschampsia cespitosa,eq
Diaptomus sanguineus,Crustacean,Crustacea,Onychodiaptomus sanguineus,not_eq
Digitalis purpurea,Plant,Plantaginaceae,Digitalis purpurea,eq
Dipodomys merriami merriami,Mammal,Mammalia,Dipodomys merriami merriami,eq
Dreissena polymorpha,Bivalve,Mollusca,Dreissena polymorpha,eq
Drosophila subobscura,Insect,Insecta,Drosophila subobscura,eq
Dumetella carolinensis,Bird,Aves,Dumetella carolinensis,eq
Echium vulgare,Plant,Boraginaceae,Echium vulgare,eq
Elymus multisetus,Plant,Poaceae,Elymus multisetus,eq
Emberiza cia,Bird,Aves,Emberiza cia,eq
Emberiza hortulana,Bird,Aves,Emberiza hortulana,eq
Emberiza schoeniclus,Bird,Aves,Emberiza schoeniclus,eq
Empidonax alnorum/traillii,Bird,Aves,Empidonax alnorum/traillii,eq
Empidonax minimus,Bird,Aves,Empidonax minimus,eq
Empidonax virescens,Bird,Aves,Empidonax virescens,eq
Erithacus rubecula,Bird,Aves,Erithacus rubecula,eq
Eschscholzia californica,Plant,Papaveraceae,Eschscholzia californica,eq
Esox lucius,Fish,Actinopterygii,Esox lucius,eq
Festuca idahoensis,Plant,Poaceae,Festuca idahoensis,eq
Festuca ovina,Plant,Poaceae,Festuca ovina,eq
Festuca rubra,Plant,Poaceae,Festuca rubra,eq
Festuca rubra ssp. rubra,Plant,Poaceae,Festuca rubra subsp. rubra,not_eq
Ficedula albicollis,Bird,Aves,Ficedula albicollis,eq
Ficedula hypoleuca,Bird,Aves,Ficedula hypoleuca,eq
Fringilla coelebs,Bird,Aves,Fringilla coelebs,eq
Fringilla montifringilla,Bird,Aves,Fringilla montifringilla,eq
Gadus morhua,Fish,Actinopterygii,Gadus morhua,eq
Galium aparine,Plant,Rubiaceae,Galium aparine,eq
Gambusia affinis,Fish,Actinopterygii,Gambusia affinis,eq
Gambusia holbrooki,Fish,Actinopterygii,Gambusia holbrooki,eq
Garrulus glandarius,Bird,Aves,Garrulus glandarius,eq
Gasterosteus aculeatus,Fish,Actinopterygii,Gasterosteus aculeatus,eq
Geospiza fortis,Bird,Aves,Geospiza fortis,eq
Geospiza scandens,Bird,Aves,Geospiza scandens,eq
Geothlypis formosa,Bird,Aves,Geothlypis formosa,eq
Geothlypis trichas,Bird,Aves,Geothlypis trichas,eq
Geranium carolinianum,Plant,Geraniaceae,Geranium carolinianum,eq
Glechoma hederacea,Plant,Lamiaceae,Glechoma hederacea,eq
Glyptocephalus cynoglossus,Fish,Actinopterygii,Glyptocephalus cynoglossus,eq
Gulo gulo,Mammal,Mammalia,Gulo gulo,eq
Gymnogobius isaza,Fish,Actinopterygii,Gymnogobius isaza,eq
Herpestes javanicus,Mammal,Mammalia,Urva javanica,not_eq
Hesperostipa comata,Plant,Poaceae,Hesperostipa comata,eq
Hippoglossoides platessoides,Fish,Actinopterygii,Hippoglossoides platessoides,eq
Hippoglossus hippoglossus,Fish,Actinopterygii,Hippoglossus hippoglossus,eq
Hippolais icterina,Bird,Aves,Hippolais icterina,eq
Hirundo rustica,Bird,Aves,Hirundo rustica,eq
Holcus lanatus,Plant,Poaceae,Holcus lanatus,eq
Hydromantes strinatii,Amphibian,Amphibia,Speleomantes strinatii,not_eq
Hylocichla mustelina,Bird,Aves,Hylocichla mustelina,eq
Hypericum perforatum,Plant,Hypericaceae,Hypericum perforatum,eq
Hypochaeris radicata,Plant,Asteraceae,Hypochaeris radicata,eq
Icteria virens,Bird,Aves,Icteria virens,eq
Icterus galbula,Bird,Aves,Icterus galbula,eq
Impatiens glandulifera,Plant,Balsaminaceae,Impatiens glandulifera,eq
Jacobaea vulgaris,Plant,Asteraceae,Jacobaea vulgaris,eq
Jadera haematoloma,Insect,Insecta,Jadera haematoloma,eq
Junco hyemalis,Bird,Aves,Junco hyemalis,eq
Jynx torquilla,Bird,Aves,Jynx torquilla,eq
Koeleria cristata,Plant,Poaceae,Koeleria pyramidata,not_eq
Koeleria micrantha,Plant,Poaceae,Koeleria macrantha,not_eq
Labidesthes sicculus,Fish,Actinopterygii,Labidesthes sicculus,eq
Lactuca muralis,Plant,Asteraceae,Cicerbita muralis,not_eq
Lactuca serriola,Plant,Asteraceae,Lactuca serriola,eq
Lanius collurio,Bird,Aves,Lanius collurio,eq
Larus audouinii,Bird,Aves,Ichthyaetus audouinii,not_eq
Lemmus trimucronatus nigripes,Mammal,Mammalia,Lemmus trimucronatus,not_eq
Lepidium draba,Plant,Brassicaceae,Lepidium draba,eq
Lepomis gibbosus,Fish,Actinopterygii,Lepomis gibbosus,eq
Lepomis macrochirus,Fish,Actinopterygii,Lepomis macrochirus,eq
Leptocoris tagalicus,Insect,Insecta,Leptocoris tagalicus,eq
Lespedeza cuneata,Plant,Fabaceae,Lespedeza cuneata,eq
Limnodrilus hoffmeisteri,Annelid,Annelid,Limnodrilus hoffmeisteri,eq
Littorina obtusata,Gastropod,Gastropod,Littorina obtusata,eq
Locustella fluviatilis,Bird,Aves,Locustella fluviatilis,eq
Locustella naevia,Bird,Aves,Locustella naevia,eq
Lolium multiflorum,Plant,Poaceae,Lolium multiflorum,eq
Lolium perenne,Plant,Poaceae,Lolium perenne,eq
Lolium rigidum,Plant,Poaceae,Lolium rigidum,eq
Lophuromys flavopunctatus zena,Mammal,Mammalia,Lophuromys flavopunctatus,not_eq
Lotus purshianus,Plant,Fabaceae,Acmispon americanus,not_eq
Lotus wrangelianus,Plant,Fabaceae,Acmispon wrangelianus,not_eq
Loxia curvirostra,Bird,Aves,Loxia curvirostra,eq
Lullula arborea,Bird,Aves,Lullula arborea,eq
Lupinus bicolor,Plant,Fabaceae,Lupinus bicolor,eq
Luscinia megarhynchos,Bird,Aves,Luscinia megarhynchos,eq
Lynx canadensis,Mammal,Mammalia,Lynx canadensis,eq
Lythrum salicaria,Plant,Lythraceae,Lythrum salicaria,eq
Macropus giganteus,Mammal,Mammalia,Macropus giganteus,eq
Macropus rufogriseus,Mammal,Mammalia,Notamacropus rufogriseus,not_eq
Malaclemys terrapin,Turtle,Reptilia,Malaclemys terrapin,eq
Malus domestica,Plant,Rosaseae,Malus domestica,eq
Martes americana,Mammal,Mammalia,Martes americana,eq
Martes foina,Mammal,Mammalia,Martes foina,eq
Martes martes,Mammal,Mammalia,Martes martes,eq
Martes melampus,Mammal,Mammalia,Martes melampus,eq
Medicago polymorpha,Plant,Fabaceae,Medicago polymorpha,eq
Melaleuca quinquenervia,Plant,Myrtaceae,Melaleuca quinquenervia,eq
Melanerpes carolinus,Bird,Aves,Melanerpes carolinus,eq
Melanogrammus aeglefinus,Fish,Actinopterygii,Melanogrammus aeglefinus,eq
Meles meles,Mammal,Mammalia,Meles meles,eq
Melilotus officinalis,Plant,Fabaceae,Melilotus officinalis,eq
Melospiza georgiana,Bird,Aves,Melospiza georgiana,eq
Melospiza lincolnii,Bird,Aves,Melospiza lincolnii,eq
Melospiza melodia,Bird,Aves,Melospiza melodia,eq
Merlangius merlangus,Fish,Actinopterygii,Merlangius merlangus,eq
Merluccius bilinears,Fish,Actinopterygii,Merluccius bilinearis,not_eq
Metriaclima zebra,Fish,Actinopterygii,Maylandia zebra,not_eq
Microtus mexicanus mexicanus,Mammal,Mammalia,Microtus mexicanus,not_eq
Microtus pennsylvanicus pennsylvanicus,Mammal,Mammalia,Microtus pennsylvanicus pennsylvanicus,eq
Mimulus guttatus,Plant,Phrymaceae,Erythranthe guttata,not_eq
Mniotilta varia,Bird,Aves,Mniotilta varia,eq
Molothrus ater,Bird,Aves,Molothrus ater,eq
Motacilla alba,Bird,Aves,Motacilla alba,eq
Motacilla cinerea,Bird,Aves,Motacilla cinerea,eq
Motacilla flava,Bird,Aves,Motacilla flava,eq
Muscicapa striata,Bird,Aves,Muscicapa striata,eq
Mus musculus,Mammal,Mammalia,Mus musculus,eq
Mustela erminea,Mammal,Mammalia,Mustela erminea,eq
Mustela frenata,Mammal,Mammalia,Mustela frenata,eq
Mustela nivalis,Mammal,Mammalia,Mustela nivalis,eq
Mustela putorius,Mammal,Mammalia,Mustela putorius,eq
Mustela vison,Mammal,Mammalia,Neogale vison,not_eq
Myiarchus crinitus,Bird,Aves,Myiarchus crinitus,eq
Notropis atherinoides,Fish,Actinopterygii,Notropis atherinoides,eq
Nucella lapillus,Gastropod,Gastropod,Nucella lapillus,eq
Nyctereutes procyonoides,Mammal,Mammalia,Nyctereutes procyonoides,eq
Oenanthe oenanthe,Bird,Aves,Oenanthe oenanthe,eq
Oenothera biennis,Plant,Onagraceae,Oenothera biennis,eq
Oligoryzomys longicaudatus philippii,Mammal,Mammalia,Oligoryzomys longicaudatus philippii,eq
Oncorhynchus gorbuscha,Fish,Actinopterygii,Oncorhynchus gorbuscha,eq
Oncorhynchus keta,Fish,Actinopterygii,Oncorhynchus keta,eq
Oncorhynchus kisutch,Fish,Actinopterygii,Oncorhynchus kisutch,eq
Oncorhynchus mykiss,Fish,Actinopterygii,Oncorhynchus mykiss,eq
Oncorhynchus nerka,Fish,Actinopterygii,Oncorhynchus nerka,eq
Oncorhynchus tshawytscha,Fish,Actinopterygii,Oncorhynchus tshawytscha,eq
Onthophagus taurus,Insect,Insecta,Onthophagus taurus,eq
Oreothlypis celata,Bird,Aves,Leiothlypis celata,not_eq
Oreothlypis ruficapilla,Bird,Aves,Leiothlypis ruficapilla,not_eq
Oryctolagus cuniculus,Mammal,Mammalia,Oryctolagus cuniculus,eq
Ovis aries,Mammal,Mammalia,Ovis aries,eq
Ovis canadensis,Mammal,Mammalia,Ovis canadensis,eq
Panax quinquefolius,Plant,Araliaceae,Panax quinquefolius,eq
Pararge aegeria,Insect,Insecta,Pararge aegeria,eq
Parkesia motacilla,Bird,Aves,Parkesia motacilla,eq
Parkesia noveboracensis,Bird,Aves,Parkesia noveboracensis,eq
Parus ater,Bird,Aves,Periparus ater,not_eq
Parus caeruleus,Bird,Aves,Cyanistes caeruleus,not_eq
Parus major,Bird,Aves,Parus major,eq
Passer domesticus,Bird,Aves,Passer domesticus,eq
Passerella iliaca,Bird,Aves,Passerella iliaca,eq
Passerina cyanea,Bird,Aves,Passerina cyanea,eq
Passer montanus,Bird,Aves,Passer montanus,eq
Pastinaca sativa,Plant,Apiaceae,Pastinaca sativa,eq
Peromyscus leucopus,Mammal,Mammalia,Peromyscus leucopus,eq
Peromyscus leucopus noveboracensis,Mammal,Mammalia,Peromyscus leucopus noveboracensis,not_eq
Peromyscus maniculatus anacapae,Mammal,Mammalia,Peromyscus maniculatus anacapae,eq
Peromyscus maniculatus blandus,Mammal,Mammalia,Peromyscus maniculatus blandus,eq
Peromyscus maniculatus elusus,Mammal,Mammalia,Peromyscus maniculatus elusus,eq
Peromyscus maniculatus nubiterrae,Mammal,Mammalia,Peromyscus maniculatus nubiterrae,eq
Peromyscus maniculatus santacruzae,Mammal,Mammalia,Peromyscus maniculatus santacruzae,eq
Phalaris arundinacea,Plant,Poaceae,Phalaris arundinacea,eq
Pheucticus ludovicianus,Bird,Aves,Pheucticus ludovicianus,eq
Phleum pratense,Plant,Poaceae,Phleum pratense,eq
Phoenicurus ochruros,Bird,Aves,Phoenicurus ochruros,eq
Phoenicurus phoenicurus,Bird,Aves,Phoenicurus phoenicurus,eq
Phylloscopus collybita,Bird,Aves,Phylloscopus collybita,eq
Phylloscopus sibilatrix,Bird,Aves,Phylloscopus sibilatrix,eq
Phylloscopus trochilus,Bird,Aves,Phylloscopus trochilus,eq
Phyllotis xanthopygus chilensis,Mammal,Mammalia,Phyllotis xanthopygus chilensis,eq
Physa virgata,Gastropod,Gastropod,Physella virgata,not_eq
Picoides pubescens,Bird,Aves,Dryobates pubescens,not_eq
Picoides villosus,Bird,Aves,Picoides villosus,eq
Pieris rapae,Insect,Insecta,Pieris rapae,eq
Pipilo erythrophthalmus,Bird,Aves,Pipilo erythrophthalmus,eq
Piptochaetium napostaense,Plant,Poaceae,Piptochaetium napostaense,eq
Piranga olivacea,Bird,Aves,Piranga olivacea,eq
Pitangus sulphuratus,Bird,Aves,Pitangus sulphuratus,eq
Plantago lanceolata,Plant,Plantaginaceae,Plantago lanceolata,eq
Plantago major,Plant,Plantaginaceae,Plantago major,eq
Pleuronectes platessa,Fish,Actinopterygii,Pleuronectes platessa,eq
Poa annua,Plant,Poaceae,Poa annua,eq
Poa pratensis,Plant,Poaceae,Poa pratensis,eq
Poa sandbergii,Plant,Poaceae,Poa sandbergii,eq
Podarcis sicula,Lizard,Reptilia,Podarcis siculus,not_eq
Poecile atricapillus,Bird,Aves,Poecile atricapillus,eq
Poecilia reticulata,Fish,Actinopterygii,Poecilia reticulata,eq
Polioptila caerulea,Bird,Aves,Polioptila caerulea,eq
Polygonum cespitosum,Plant,Polygonaceae,Persicaria posumbu,not_eq
Praomys jacksoni,Mammal,Mammalia,Praomys jacksoni,eq
Procyon lotor,Mammal,Mammalia,Procyon lotor,eq
Prunella modularis,Bird,Aves,Prunella modularis,eq
Prunella vulgaris,Plant,Lamiaceae,Prunella vulgaris,eq
Pseudechis porphyriacus,Snake,Reptilia,Pseudechis porphyriacus,eq
Pseudoroegneria spicata,Plant,Poaceae,Pseudoroegneria spicata,eq
Pyrrhula pyrrhula,Bird,Aves,Pyrrhula pyrrhula,eq
Quiscalus quiscula,Bird,Aves,Quiscalus quiscula,eq
Rana arvalis,Amphibian,Amphibia,Rana arvalis,eq
Rana esculenta complex,Amphibian,Amphibia,Pelophylax lessonae/ridibunda,not_eq
Rana sylvatica,Amphibian,Amphibia,Lithobates sylvaticus,not_eq
Rangifer t. tarandus,Mammal,Mammalia,Rangifer tarandus tarandus,not_eq
Ranunculus bulbosus,Plant,Ranunculaceae,Ranunculus bulbosus,eq
Raphanus raphanistrum,Plant,Brassicaceae,Raphanus raphanistrum,eq
Raphanus raphanistrum X R. sativus,Plant,Brassicaceae,Raphanus raphanistrum X Raphanus sativus,not_eq
Rattus rattus,Mammal,Mammalia,Rattus rattus,eq
Rattus tanezumi mindanensis,Mammal,Mammalia,Rattus tanezumi,not_eq
Regulus calendula,Bird,Aves,Regulus calendula,eq
Regulus ignicapillus,Bird,Aves,Regulus ignicapilla,not_eq
Regulus regulus,Bird,Aves,Regulus regulus,eq
Rhododendron ponticum,Plant,Ericaceae,Rhododendron ponticum,eq
Riparia riparia,Bird,Aves,Riparia riparia,eq
Rorippa austriaca,Plant,Brassicaceae,Rorippa austriaca,eq
Rumex acetosa,Plant,Polygonaceae,Rumex acetosa,eq
Rumex acetosella,Plant,Polygonaceae,Rumex acetosella,eq
Rumex crispus,Plant,Polygonaceae,Rumex crispus,eq
Salmo salar,Fish,Actinopterygii,Salmo salar,eq
Salmo trutta,Fish,Actinopterygii,Salmo trutta,eq
Salvelinus alpinus,Fish,Actinopterygii,Salvelinus alpinus,eq
Sander lucioperca,Fish,Actinopterygii,Sander lucioperca,eq
Sanguisorba officinalis,Plant,Rosaceae,Sanguisorba officinalis,eq
Sapium sebiferum,Plant,Euphorbiaceae,Triadica sebifera,not_eq
Sardinops ocellatus,Fish,Actinopterygii,Sardinops ocellatus,eq
Saussurea laniceps,Plant,Asteraceae,Saussurea laniceps,eq
Saussurea medusa,Plant,Asteraceae,Saussurea medusa,eq
Saussurea nigrescens,Plant,Asteraceae,Saussurea nigrescens,eq
Saxicola rubetra,Bird,Aves,Saxicola rubetra,eq
Sayornis phoebe,Bird,Aves,Sayornis phoebe,eq
