species,taxa,taxa_fine,sp_ncbi,sp_given.ncbi
Vestiaria coccinea,Bird,Aves,Vestiaria coccinea,eq
Vireo griseus,Bird,Aves,Vireo griseus,eq
Vireo olivaceus,Bird,Aves,Vireo olivaceus,eq
Vireo philadelphicus,Bird,Aves,Vireo philadelphicus,eq
Vireo solitarius,Bird,Aves,Vireo solitarius,eq
Viverra tangalunga,Mammal,Mammalia,Viverra tangalunga,eq
Vulpes vulpes,Mammal,Mammalia,Vulpes vulpes,eq
Wyeomyia smithii,Insect,Insecta,Wyeomyia smithii,eq
Zea mays,Plant,Poaceae,Zea mays,eq
Zenaida macroura,Bird,Aves,Zenaida macroura,eq
Zonotrichia albicollis,Bird,Aves,Zonotrichia albicollis,eq
Zonotrichia leucophrys,Bird,Aves,Zonotrichia leucophrys,eq
Zosterops lateralis,Bird,Aves,Zosterops lateralis,eq
