species,common,taxa,phylum,class,order,sp_ncbi,sp_given.ncbi
Plantago major,,Plant,Streptophyta,Magnoliopsida,Lamiales,Plantago major,eq
Pleuronectes platessa,,Fish,Chordata,Actinopteri,Pleuronectiformes,Pleuronectes platessa,eq
Poa annua,,Plant,Streptophyta,Magnoliopsida,Poales,Poa annua,eq
Poa pratensis,,Plant,Streptophyta,Magnoliopsida,Poales,Poa pratensis,eq
Poa sandbergii,,Plant,Streptophyta,Magnoliopsida,Poales,Poa sandbergii,eq
Podarcis sicula,,Reptile,Chordata,Lepidosauria,Squamata,Podarcis siculus,not_eq
Poecile atricapillus,,Bird,Chordata,Aves,Passeriformes,Poecile atricapillus,eq
Poecilia reticulata,,Fish,Chordata,Actinopteri,Cyprinodontiformes,Poecilia reticulata,eq
Polioptila caerulea,,Bird,Chordata,Aves,Passeriformes,Polioptila caerulea,eq
Polygonum cespitosum,,Plant,Streptophyta,Magnoliopsida,Caryophyllales,Persicaria posumbu,not_eq
Praomys jacksoni,,Mammal,Chordata,Mammalia,Rodentia,Praomys jacksoni,eq
Procyon lotor,,Mammal,Chordata,Mammalia,Carnivora,Procyon lotor,eq
Prunella modularis,,Bird,Chordata,Aves,Passeriformes,Prunella modularis,eq
Prunella vulgaris,,Plant,Streptophyta,Magnoliopsida,Lamiales,Prunella vulgaris,eq
Pseudechis porphyriacus,,Reptile,Chordata,Lepidosauria,Squamata,Pseudechis porphyriacus,eq
Pseudoroegneria spicata,,Plant,Streptophyta,Magnoliopsida,Poales,Pseudoroegneria spicata,eq
Pyrrhula pyrrhula,,Bird,Chordata,Aves,Passeriformes,Pyrrhula pyrrhula,eq
Quiscalus quiscula,,Bird,Chordata,Aves,Passeriformes,Quiscalus quiscula,eq
Rana arvalis,,Amphibian,Chordata,Amphibia,Anura,Rana arvalis,eq
Rana esculenta complex,,Amphibian,Chordata,Amphibia,Anura,Pelophylax lessonae/ridibunda,not_eq
Rana sylvatica,,Amphibian,Chordata,Amphibia,Anura,Lithobates sylvaticus,not_eq
Rangifer t. tarandus,,Mammal,Chordata,Mammalia,Artiodactyla,Rangifer tarandus tarandus,not_eq
Ranunculus bulbosus,,Plant,Streptophyta,Magnoliopsida,Ranunculales,Ranunculus bulbosus,eq
Raphanus raphanistrum,,Plant,Streptophyta,Magnoliopsida,Brassicales,Raphanus raphanistrum,eq
Raphanus raphanistrum X R. sativus,,Plant,Streptophyta,Magnoliopsida,Brassicales,Raphanus raphanistrum X Raphanus sativus,not_eq
Rattus rattus,,Mammal,Chordata,Mammalia,Rodentia,Rattus rattus,eq
Rattus tanezumi mindanensis,,Mammal,Chordata,Mammalia,Rodentia,Rattus tanezumi,not_eq
Regulus calendula,,Bird,Chordata,Aves,Passeriformes,Regulus calendula,eq
Regulus ignicapillus,,Bird,Chordata,Aves,Passeriformes,Regulus ignicapilla,not_eq
Regulus regulus,,Bird,Chordata,Aves,Passeriformes,Regulus regulus,eq
Rhododendron ponticum,,Plant,Streptophyta,Magnoliopsida,Ericales,Rhododendron ponticum,eq
Riparia riparia,,Bird,Chordata,Aves,Passeriformes,Riparia riparia,eq
Rorippa austriaca,,Plant,Streptophyta,Magnoliopsida,Brassicales,Rorippa austriaca,eq
Rumex acetosa,,Plant,Streptophyta,Magnoliopsida,Caryophyllales,Rumex acetosa,eq
Rumex acetosella,,Plant,Streptophyta,Magnoliopsida,Caryophyllales,Rumex acetosella,eq
Rumex crispus,,Plant,Streptophyta,Magnoliopsida,Caryophyllales,Rumex crispus,eq
Salmo salar,,Fish,Chordata,Actinopteri,Salmoniformes,Salmo salar,eq
Salmo trutta,,Fish,Chordata,Actinopteri,Salmoniformes,Salmo trutta,eq
Salvelinus alpinus,,Fish,Chordata,Actinopteri,Salmoniformes,Salvelinus alpinus,eq
Sander lucioperca,,Fish,Chordata,Actinopteri,Perciformes,Sander lucioperca,eq
Sanguisorba officinalis,,Plant,Streptophyta,Magnoliopsida,Rosales,Sanguisorba officinalis,eq
Sapium sebiferum,,Plant,Streptophyta,Magnoliopsida,Malpighiales,Triadica sebifera,not_eq
Sardinops ocellatus,,Fish,Chordata,Actinopteri,Clupeiformes,Sardinops ocellatus,eq
Saussurea laniceps,,Plant,Streptophyta,Magnoliopsida,Asterales,Saussurea laniceps,eq
Saussurea medusa,,Plant,Streptophyta,Magnoliopsida,Asterales,Saussurea medusa,eq
Saussurea nigrescens,,Plant,Streptophyta,Magnoliopsida,Asterales,Saussurea nigrescens,eq
Saxicola rubetra,,Bird,Chordata,Aves,Passeriformes,Saxicola rubetra,eq
Sayornis phoebe,,Bird,Chordata,Aves,Passeriformes,Sayornis phoebe,eq
Scabiosa columbaria,,Plant,Streptophyta,Magnoliopsida,Dipsacales,Scabiosa columbaria,eq
Scathophaga stercoraria,,Arthropod,Arthropoda,Insecta,Diptera,Scathophaga stercoraria,eq
Schizachyrium scoparium,,Plant,Streptophyta,Magnoliopsida,Poales,Schizachyrium scoparium,eq
Sciurus carolinensis pennsylvanicus,,Mammal,Chordata,Mammalia,Rodentia,Neosciurus carolinensis,not_eq
Secale cereale,,Plant,Streptophyta,Magnoliopsida,Poales,Secale cereale,eq
Seiurus aurocapilla,,Bird,Chordata,Aves,Passeriformes,Seiurus aurocapilla,eq
Senecio inaequidens,,Plant,Streptophyta,Magnoliopsida,Asterales,Senecio inaequidens,eq
Senecio jacobaea,,Plant,Streptophyta,Magnoliopsida,Asterales,Jacobaea vulgaris,not_eq
Senecio pterophorus,,Plant,Streptophyta,Magnoliopsida,Asterales,Senecio pterophorus,eq
Senecio squalidus,,Plant,Streptophyta,Magnoliopsida,Asterales,Senecio squalidus,eq
Senecio sylvaticus,,Plant,Streptophyta,Magnoliopsida,Asterales,Senecio sylvaticus,eq
Senecio vulgaris,,Plant,Streptophyta,Magnoliopsida,Asterales,Senecio vulgaris,eq
Serinus citrinella,,Bird,Chordata,Aves,Passeriformes,Serinus citrinella,eq
Serinus serinus,,Bird,Chordata,Aves,Passeriformes,Serinus serinus,eq
Setophaga americana,,Bird,Chordata,Aves,Passeriformes,Setophaga americana,eq
Setophaga caerulescens,,Bird,Chordata,Aves,Passeriformes,Setophaga caerulescens,eq
Setophaga castanea,,Bird,Chordata,Aves,Passeriformes,Setophaga castanea,eq
Setophaga citrina,,Bird,Chordata,Aves,Passeriformes,Setophaga citrina,eq
Setophaga coronata,,Bird,Chordata,Aves,Passeriformes,Setophaga coronata,eq
Setophaga fusca,,Bird,Chordata,Aves,Passeriformes,Setophaga fusca,eq
Setophaga petechia,,Bird,Chordata,Aves,Passeriformes,Setophaga petechia,eq
Setophaga ruticilla,,Bird,Chordata,Aves,Passeriformes,Setophaga ruticilla,eq
Setophaga striata,,Bird,Chordata,Aves,Passeriformes,Setophaga striata,eq
Setophaga tigrina,,Bird,Chordata,Aves,Passeriformes,Setophaga tigrina,eq
Setophaga virens,,Bird,Chordata,Aves,Passeriformes,Setophaga virens,eq
Sialia sialis,,Bird,Chordata,Aves,Passeriformes,Sialia sialis,eq
Silene latifolia,,Plant,Streptophyta,Magnoliopsida,Caryophyllales,Silene latifolia,eq
Sitta carolinensis,,Bird,Chordata,Aves,Passeriformes,Sitta carolinensis,eq
Sitta europaea,,Bird,Chordata,Aves,Passeriformes,Sitta europaea,eq
Solanum dulcamara,,Plant,Streptophyta,Magnoliopsida,Solanales,Solanum dulcamara,eq
Solidago altissima,,Plant,Streptophyta,Magnoliopsida,Asterales,Solidago canadensis var. scabra,not_eq
Solidago canadensis,,Plant,Streptophyta,Magnoliopsida,Asterales,Solidago canadensis var. canadensis,not_eq
Solidago gigantea,,Plant,Streptophyta,Magnoliopsida,Asterales,Solidago gigantea,eq
Spartina alterniflora,,Plant,Streptophyta,Magnoliopsida,Poales,Sporobolus alterniflorus,not_eq
Spilogale gracilis,,Mammal,Chordata,Mammalia,Carnivora,Spilogale gracilis,eq
Spinus pinus,,Bird,Chordata,Aves,Passeriformes,Spinus pinus,eq
Spinus tristis,,Bird,Chordata,Aves,Passeriformes,Spinus tristis,eq
Spizella passerina,,Bird,Chordata,Aves,Passeriformes,Spizella passerina,eq
Spizella pusilla,,Bird,Chordata,Aves,Passeriformes,Spizella pusilla,eq
Sporobolus airoides,,Plant,Streptophyta,Magnoliopsida,Poales,Sporobolus airoides,eq
Stelgidopteryx serripennis,,Bird,Chordata,Aves,Passeriformes,Stelgidopteryx serripennis,eq
Stellaria graminea,,Plant,Streptophyta,Magnoliopsida,Caryophyllales,Stellaria graminea,eq
Sterna paradisaea,,Bird,Chordata,Aves,Charadriiformes,Sterna paradisaea,eq
Stipa occidentalis,,Plant,Streptophyta,Magnoliopsida,Poales,Stipa occidentalis,eq
Sturnia philippensis,,Bird,Chordata,Aves,Passeriformes,Sturnus philippensis,not_eq
Sturnus vulgaris,,Bird,Chordata,Aves,Passeriformes,Sturnus vulgaris,eq
Sylvia atricapilla,,Bird,Chordata,Aves,Passeriformes,Sylvia atricapilla,eq
Sylvia borin,,Bird,Chordata,Aves,Passeriformes,Sylvia borin,eq
Sylvia communis,,Bird,Chordata,Aves,Passeriformes,Sylvia communis,eq
Tachycineta bicolor,,Bird,Chordata,Aves,Passeriformes,Tachycineta bicolor,eq
Tachyoryctes splendens naivashae,,Mammal,Chordata,Mammalia,Rodentia,Tachyoryctes splendens,not_eq
Tamiasciurus hudsonicus,,Mammal,Chordata,Mammalia,Rodentia,Tamiasciurus hudsonicus,eq
Tamias striatus griseus,,Mammal,Chordata,Mammalia,Rodentia,Tamias striatus,not_eq
Telespyza cantans,,Bird,Chordata,Aves,Passeriformes,Telespiza cantans,not_eq
Thomomys umbrinus umbrinus,,Mammal,Chordata,Mammalia,Rodentia,Thomomys umbrinus,not_eq
Thryothorus ludovicianus,,Bird,Chordata,Aves,Passeriformes,Thryothorus ludovicianus,eq
Thymallus thymallus,,Fish,Chordata,Actinopteri,Salmoniformes,Thymallus thymallus,eq
Toxostoma rufum,,Bird,Chordata,Aves,Passeriformes,Toxostoma rufum,eq
Triadica sebifera,,Plant,Streptophyta,Magnoliopsida,Malpighiales,Triadica sebifera,eq
Trifolium pratense,,Plant,Streptophyta,Magnoliopsida,Fabales,Trifolium pratense,eq
Trisopterus esmarkii,,Fish,Chordata,Actinopteri,Gadiformes,Trisopterus esmarkii,eq
Tristerix corymbosus,,Plant,Streptophyta,Magnoliopsida,Santalales,Tristerix corymbosus,eq
Troglodytes aedon,,Bird,Chordata,Aves,Passeriformes,Troglodytes aedon,eq
Troglodytes troglodytes,,Bird,Chordata,Aves,Passeriformes,Troglodytes troglodytes,eq
Turdus iliacus,,Bird,Chordata,Aves,Passeriformes,Turdus iliacus,eq
Turdus merula,,Bird,Chordata,Aves,Passeriformes,Turdus merula,eq
Turdus migratorius,,Bird,Chordata,Aves,Passeriformes,Turdus migratorius,eq
Turdus philomelos,,Bird,Chordata,Aves,Passeriformes,Turdus philomelos,eq
Turdus torquatus alpestris,,Bird,Chordata,Aves,Passeriformes,Turdus torquatus,not_eq
Turdus torquatus torquatus,,Bird,Chordata,Aves,Passeriformes,Turdus torquatus torquatus,eq
Turdus viscivorus,,Bird,Chordata,Aves,Passeriformes,Turdus viscivorus,eq
Tussilago farfara,,Plant,Streptophyta,Magnoliopsida,Asterales,Tussilago farfara,eq
Ulex europaeus,,Plant,Streptophyta,Magnoliopsida,Fabales,Ulex europaeus,eq
Urocyon cinereoargenteus,,Mammal,Chordata,Mammalia,Carnivora,Urocyon cinereoargenteus,eq
Urocyon littoralis,,Mammal,Chordata,Mammalia,Carnivora,Urocyon littoralis,eq
Ursus arctos,,Mammal,Chordata,Mammalia,Carnivora,Ursus arctos,eq
Vermivora chrysoptera,,Bird,Chordata,Aves,Passeriformes,Vermivora chrysoptera,eq
Vermivora cyanoptera,,Bird,Chordata,Aves,Passeriformes,Vermivora cyanoptera,eq
Veronica hederifolia,,Plant,Streptophyta,Magnoliopsida,Lamiales,Veronica hederifolia,eq
Vestiaria coccinea,,Bird,Chordata,Aves,Passeriformes,Vestiaria coccinea,eq
Vireo griseus,,Bird,Chordata,Aves,Passeriformes,Vireo griseus,eq
Vireo olivaceus,,Bird,Chordata,Aves,Passeriformes,Vireo olivaceus,eq
Vireo philadelphicus,,Bird,Chordata,Aves,Passeriformes,Vireo philadelphicus,eq
Vireo solitarius,,Bird,Chordata,Aves,Passeriformes,Vireo solitarius,eq
Viverra tangalunga,,Mammal,Chordata,Mammalia,Carnivora,Viverra tangalunga,eq
Vulpes vulpes,,Mammal,Chordata,Mammalia,Carnivora,Vulpes vulpes,eq
Wyeomyia smithii,,Arthropod,Arthropoda,Insecta,Diptera,Wyeomyia smithii,eq
Zea mays,,Plant,Streptophyta,Magnoliopsida,Poales,Zea mays,eq
Zenaida macroura,,Bird,Chordata,Aves,Columbiformes,Zenaida macroura,eq
Zonotrichia albicollis,,Bird,Chordata,Aves,Passeriformes,Zonotrichia albicollis,eq
Zonotrichia leucophrys,,Bird,Chordata,Aves,Passeriformes,Zonotrichia leucophrys,eq
Zosterops lateralis,,Bird,Chordata,Aves,Passeriformes,Zosterops lateralis,eq
Baeolophus bicolor,,Bird,Chordata,Aves,Passeriformes,Baeolophus bicolor,eq
Colaptes auratus auratus,,Bird,Chordata,Aves,Piciformes,Colaptes auratus,not_eq
Contopus cooperi,,Bird,Chordata,Aves,Passeriformes,Contopus cooperi,eq
Helmitheros vermivorum,,Bird,Chordata,Aves,Passeriformes,Helmitheros vermivorum,eq
Icterus spurius,,Bird,Chordata,Aves,Passeriformes,Icterus spurius,eq
Junco hyemalis hyemalis,Slate-colored Junco,Bird,Chordata,Aves,Passeriformes,Junco hyemalis,not_eq
Setophaga cerulea,,Bird,Chordata,Aves,Passeriformes,Setophaga cerulea,eq
Setophaga discolor,,Bird,Chordata,Aves,Passeriformes,Setophaga discolor,eq
Setophaga dominica,,Bird,Chordata,Aves,Passeriformes,Setophaga dominica,eq
Tyrannus tyrannus,,Bird,Chordata,Aves,Passeriformes,Tyrannus tyrannus,eq
Vireo flavifrons,,Bird,Chordata,Aves,Passeriformes,Vireo flavifrons,eq
Vireo gilvus,,Bird,Chordata,Aves,Passeriformes,Vireo gilvus,eq
